objeto,campo,tipo,cardinalidade,descricao
resultado,hits,list,0..n hits,Hits brutos desta página; ver hit. Cada ID deve ser único na página.
resultado,consulta,list,1,Consulta sanitizada enviada à API; ver consulta.
resultado,metadados,list,1,Contagens e cursores; ver resultado_metadados.
resultado_metadados,tribunal,character,1,Sigla do tribunal.
resultado_metadados,total_valor,numeric,1,Total informado; limite inferior quando total_relacao é gte.
resultado_metadados,total_relacao,character,1,eq (exato) ou gte (pelo menos).
resultado_metadados,quantidade_recebida,integer,1,Número de hits nesta página.
resultado_metadados,pagina,numeric,1; pode ser NA,Ordinal da página; NA quando não pode ser determinado.
resultado_metadados,cursor_utilizado,list/NULL,0 ou 2 valores,Cursor usado na requisição; NULL na primeira página.
resultado_metadados,proximo_cursor,list/NULL,0 ou 2 valores,"Cursor do último hit; NULL para página vazia, sem garantir esgotamento quando presente."
cursor,timestamp,numeric,1,"Primeira posição: timestamp numérico em milissegundos, sem conversão para texto."
cursor,id,character,1,Segunda posição: ID único usado no desempate.
resultado_tibble,id,character,1 por linha,Chave única do hit; não é o número do processo.
resultado_tibble,numero_processo,character,0..1 por linha; NA,"Número como texto, preservando zeros."
resultado_tibble,dados,list,1 lista por linha,Fonte _source completa; campos remotos adicionais são preservados.
hit,_index,character/NULL,0..1,"Índice remoto, quando informado."
hit,_id,character/NULL,0..1,Identificador do mecanismo de pesquisa; a chave usada pelo pacote vem de _source.id.
hit,_score,numeric/NULL,0..1,"Pontuação remota, não usada na ordenação por cursor."
hit,_source,list,1,Objeto remoto aberto; ver fonte para os campos utilizados pelos leitores.
hit,sort,list,2 valores,"Cursor composto deste hit, na ordem timestamp e ID."
fonte,id,character,1,Identificador obrigatório para o pacote.
fonte,tribunal,character/NULL,0..1,Sigla do tribunal.
fonte,numeroProcesso,character/NULL,0..1,Número do processo como texto.
fonte,dataAjuizamento,character/NULL,0..1,"Data/hora remota, convertida pelo leitor."
fonte,dataHoraUltimaAtualizacao,character/NULL,0..1,"Data/hora da última atualização, convertida pelo leitor."
fonte,grau,character/NULL,0..1,Código do grau de jurisdição.
fonte,nivelSigilo,numeric/NULL,0..1,Nível de sigilo informado.
fonte,formato,list/NULL,0..1,Objeto remoto; o leitor utiliza nome.
fonte,sistema,list/NULL,0..1,Objeto remoto; o leitor utiliza nome.
fonte,classe,list/NULL,0..1,Objeto remoto com codigo e nome.
fonte,assuntos,list/NULL,0..n,Objetos com codigo e nome; todos são preservados na coluna assuntos.
fonte,orgaoJulgador,list/NULL,0..1,"Objeto com codigo, nome e codigoMunicipioIBGE."
fonte,movimentos,list/NULL,0..n,"Objetos com codigo, nome, dataHora, complementosTabelados e orgaoJulgador. O leitor utiliza apenas o primeiro complemento e órgão de cada movimento."
consulta,size,numeric,1,"Tamanho solicitado da página, de 1 a 10000."
consulta,query,list,1,Objeto bool com filter; ver consulta_bool.
consulta,sort,list,2 objetos,"@timestamp e id.keyword, cada um com order = asc."
consulta,search_after,list/NULL,ausente ou 2 valores,Cursor composto; ausente na primeira requisição.
consulta_bool,filter,list,1..n,"Cada elemento contém terms: nome do campo (assuntos.codigo, classe.codigo ou orgaoJulgador.codigo) mapeado a vetor de códigos numéricos. Filtros combinados com AND; valores de cada terms com OR."
processos,id,character,1 por processo,Chave única obrigatória.
processos,tribunal,character,0..1 por processo; NA,Sigla do tribunal.
processos,numero_processo,character,0..1 por processo; NA,Número textual; não usar como chave única.
processos,data_ajuizamento,POSIXct,0..1 por processo; NA,Data/hora de ajuizamento em UTC.
processos,data_atualizacao,POSIXct,0..1 por processo; NA,Data/hora de atualização em UTC.
processos,grau,character,0..1 por processo; NA,Código do grau informado pela API.
processos,nivel_sigilo,numeric,0..1 por processo; NA,Nível informado pela API; códigos podem ser integer ou double conforme o JSON.
processos,formato,character,0..1 por processo; NA,Nome do formato.
processos,sistema,character,0..1 por processo; NA,Nome do sistema.
processos,classe_tpu,numeric,0..1 por processo; NA,Código da classe.
processos,classe_nome,character,0..1 por processo; NA,Nome da classe informado na resposta.
processos,assuntos,list,1 tibble por processo; 0..n linhas,Todos os assuntos; colunas descritas em assuntos. Sem assuntos o tibble interno pode ter zero colunas.
processos,assuntos_resumo,character,0..1 por processo; NA,"Representação textual dos assuntos, não uma chave."
processos,orgao_julgador_codigo,numeric,0..1 por processo; NA,Código de órgão no tribunal.
processos,orgao_julgador_nome,character,0..1 por processo; NA,Nome do órgão julgador.
processos,orgao_julgador_ibge,numeric,0..1 por processo; NA,Código do município informado pela API.
